,pca,ica,lle
0,0.9084210526315788,0.9078362573099413,0.9298245614035088
1,0.8892397660818712,0.902690058479532,0.9201169590643273
2,0.8913450292397659,0.8378947368421052,0.9148538011695905
3,0.8338011695906432,0.8346198830409355,0.9087719298245612
4,0.8890058479532164,0.8955555555555555,0.9451461988304094
5,0.8451461988304095,0.870175438596491,0.9454970760233917
6,0.9355555555555555,0.8861988304093567,0.946549707602339
7,0.9129824561403507,0.872514619883041,0.9408187134502921
8,0.9340350877192982,0.8887719298245613,0.943391812865497
9,0.9216374269005847,0.8843274853801169,0.9497076023391813
